timestamp,raw_value,attention,label
1644694647.533138,26,48,0
1644694647.5342994,18,48,0
1644694647.5363517,11,48,0
1644694647.537558,12,48,0
1644694647.5398064,19,48,0
1644694647.5415514,17,48,0
1644694647.5440662,-2,48,0
1644694647.545057,-27,48,0
1644694647.5471077,-37,48,0
1644694647.550362,-20,48,0
1644694647.5511446,7,48,0
1644694647.5541136,32,48,0
1644694647.555476,38,48,0
1644694647.557084,39,48,0
1644694647.5591266,40,48,0
1644694647.5610733,49,48,0
1644694647.5636897,67,48,0
1644694647.5649433,75,48,0
1644694647.5676832,74,48,0
1644694647.5687232,72,48,0
1644694647.571674,65,48,0
1644694647.5730524,45,48,0
1644694647.574665,34,48,0
1644694647.5767307,36,48,0
1644694647.5786533,33,48,0
1644694647.5816472,23,48,0
1644694647.5826428,7,48,0
1644694647.5847037,-11,48,0
1644694647.5866597,-22,48,0
1644694647.5889041,-30,48,0
1644694647.590623,-53,48,0
1644694647.5926244,-74,48,0
1644694647.5946534,-83,48,0
1644694647.5968957,-67,48,0
1644694647.601638,-42,48,0
1644694647.6026723,-27,48,0
1644694647.6039734,-22,48,0
1644694647.6059582,-6,48,0
1644694647.6079657,13,48,0
1644694647.6104867,28,48,0
1644694647.611403,25,48,0
1644694647.6124637,8,48,0
1644694647.6142457,2,48,0
1644694647.6162395,1,48,0
1644694647.6172361,-5,48,0
1644694647.620227,-14,48,0
1644694647.6212244,-17,48,0
1644694647.6242182,-6,48,0
1644694647.6262116,10,48,0
1644694647.6275434,23,48,0
1644694647.6295986,19,48,0
1644694647.631687,8,48,0
1644694647.6338508,5,48,0
1644694647.6355758,5,48,0
1644694647.6379764,-1,48,0
1644694647.6393046,-7,48,0
1644694647.6410117,-2,48,0
1644694647.6442142,5,48,0
1644694647.6449623,2,48,0
1644694647.64795,-8,48,0
1644694647.6489468,-17,48,0
1644694647.6511977,-9,48,0
1644694647.652939,2,48,0
1644694647.655282,0,48,0
1644694647.6574278,-1,48,0
1644694647.6583972,8,48,0
1644694647.661388,16,48,0
1644694647.6624255,9,48,0
1644694647.6656353,5,48,0
1644694647.6667538,13,48,0
1644694647.6694965,26,48,0
1644694647.6706076,28,48,0
1644694647.672862,25,48,0
1644694647.6739254,18,48,0
1644694647.675861,17,48,0
1644694647.6788962,24,48,0
1644694647.6801615,20,48,0
1644694647.6829875,5,48,0
1644694647.6839302,4,48,0
1644694647.6859214,9,48,0
1644694647.688873,18,48,0
1644694647.6898856,34,48,0
1644694647.692876,50,48,0
1644694647.69386,45,48,0
1644694647.6968882,21,48,0
1644694647.697856,7,48,0
1644694647.7019422,18,48,0
1644694647.7031672,32,48,0
1644694647.7100604,41,61,0
1644694647.710815,38,61,0
1644694647.7130198,22,61,0
1644694647.7158167,17,61,0
1644694647.7158167,37,61,0
1644694647.7178447,71,61,0
1644694647.7188783,105,61,0
1644694647.7199101,123,61,0
1644694647.7209065,117,61,0
1644694647.7248466,89,61,0
1644694647.7258298,67,61,0
1644694647.7278254,58,61,0
1644694647.7288635,67,61,0
1644694647.7298179,84,61,0
1644694647.7308154,92,61,0
1644694647.7338352,86,61,0
1644694647.7348528,74,61,0
1644694647.73785,75,61,0
1644694647.7388465,85,61,0
1644694647.7408528,91,61,0
1644694647.7428544,99,61,0
1644694647.7448328,102,61,0
1644694647.7480166,98,61,0
1644694647.7488587,86,61,0
1644694647.750814,80,61,0
1644694647.7528274,74,61,0
1644694647.7548575,74,61,0
1644694647.75583,65,61,0
1644694647.7588449,37,61,0
1644694647.7598386,28,61,0
1644694647.7630546,50,61,0
1644694647.7640567,75,61,0
1644694647.7668486,82,61,0
1644694647.7678466,67,61,0
1644694647.7703984,51,61,0
1644694647.7714882,44,61,0
1644694647.774143,43,61,0
1644694647.7765212,42,61,0
1644694647.777779,44,61,0
1644694647.780526,44,61,0
1644694647.782509,52,61,0
1644694647.7838101,74,61,0
1644694647.785855,93,61,0
1644694647.7878046,86,61,0
1644694647.7901819,60,61,0
1644694647.7911417,40,61,0
1644694647.794139,42,61,0
1644694647.795517,52,61,0
1644694647.7977233,41,61,0
1644694647.8275666,9,61,0
1644694647.82856,-5,61,0
1644694647.8317933,16,61,0
1644694647.8337991,32,61,0
1644694647.8337991,25,61,0
1644694647.8337991,12,61,0
1644694647.8345454,2,61,0
1644694647.8345454,-4,61,0
1644694647.8345454,0,61,0
1644694647.8345454,2,61,0
1644694647.8345454,0,61,0
1644694647.8345454,10,61,0
1644694647.8345454,26,61,0
1644694647.8345454,37,61,0
1644694647.8345454,26,61,0
1644694647.8345454,19,61,0
1644694647.8345454,18,61,0
1644694647.8369064,9,61,0
1644694647.8380241,-1,61,0
1644694647.8389006,-9,61,0
1644694647.8398795,-5,61,0
1644694647.8408332,12,61,0
1644694647.8448477,24,61,0
1644694647.8448477,26,61,0
1644694647.8468595,20,61,0
1644694647.8488119,10,61,0
1644694647.8498094,3,61,0
1644694647.852829,2,61,0
1644694647.8537972,7,61,0
1644694647.8578532,16,61,0
1644694647.8588493,10,61,0
1644694647.8598506,6,61,0
1644694647.8638966,19,61,0
1644694647.8648932,44,61,0
